individual_appno,ecli,itemid
5930/72,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5931/72,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5953/72,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5954/72,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5955/72,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5956/72,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5957/72,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5984/73,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5985/73,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5986/73,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5987/73,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5988/73,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
6011/73,ECLI:CE:ECHR:1974:0531DEC000576772,001-3179
5078/71,ECLI:CE:ECHR:1974:0530DEC000507871,001-3149
6242/73,ECLI:CE:ECHR:1974:0524DEC000624273,001-3191
4649/70,ECLI:CE:ECHR:1974:0503DEC000464970,001-3135
5495/72,ECLI:CE:ECHR:1974:0405DEC000549572,001-3167
5560/72,ECLI:CE:ECHR:1973:1218DEC000556072,001-3171
4991/71,ECLI:CE:ECHR:1973:0718DEC000499171,001-3145
5560/72,ECLI:CE:ECHR:1973:0531DEC000556072,001-3172
5460/72,ECLI:CE:ECHR:1973:0402DEC000546072,001-3165
5420/72,ECLI:CE:ECHR:1973:0209DEC000542072,001-3163
5258/71,ECLI:CE:ECHR:1973:0208DEC000525871,001-3157
5525/72,ECLI:CE:ECHR:1973:0205DEC000552572,001-3169
5049/71,ECLI:CE:ECHR:1973:0205DEC000504971,001-3146
5498/72,ECLI:CE:ECHR:1974:1007DEC000549872,001-27962
6173/73,ECLI:CE:ECHR:1974:0718DEC000617373,001-27968
5348/72,ECLI:CE:ECHR:1974:0708DEC000534872,001-27955
6149/73,ECLI:CE:ECHR:1974:0708DEC000614973,001-27967
6004/73,ECLI:CE:ECHR:1974:0531DEC000600473,001-27966
5765/72,ECLI:CE:ECHR:1973:0716DEC000576572,001-27964
5713/72,ECLI:CE:ECHR:1973:0709DEC000571372,001-27963
4741/71,ECLI:CE:ECHR:1973:0402DEC000474171,001-27949
5421/72,ECLI:CE:ECHR:1973:0205DEC000542172,001-27959
6776/74,ECLI:CE:ECHR:1974:1219DEC000677674,001-74887
6566/74,ECLI:CE:ECHR:1974:1219DEC000656674,001-75093
5029/71,ECLI:CE:ECHR:1974:1218DEC000502971,001-74993
6062/73,ECLI:CE:ECHR:1974:1218DEC000606273,001-73853
6049/73,ECLI:CE:ECHR:1974:1214DEC000604973,001-75074
5871/72,ECLI:CE:ECHR:1974:0930DEC000587172,001-75079
5575/72,ECLI:CE:ECHR:1974:0708DEC000557572,001-75076
6566/74,ECLI:CE:ECHR:1974:1219DEC000656674,001-75094
6776/74,ECLI:CE:ECHR:1974:1219DEC000677674,001-75062
5029/71,ECLI:CE:ECHR:1974:1218DEC000502971,001-75064
6062/73,ECLI:CE:ECHR:1974:1218DEC000606273,001-75037
6049/73,ECLI:CE:ECHR:1974:1214DEC000604973,001-75080
5871/72,ECLI:CE:ECHR:1974:0930DEC000587172,001-75073
